"","Subject","Trial","Condition","SS1vSS2top","SS1amount","SS1delay","LL1amount","LL1delay","SS2amount","SS2delay","LL2amount","LL2delay","TrialStart","RT","TrialOver","Choice","Run","Day"
"3450",116,75,43,1,10.1,21,3.5,84,8.61,21,5.47,84,143.4619,1.1369,1.6489,0,2,"Fast"
"3451",116,76,21,1,9.41,7,7.44,49,7.44,7,9.41,49,145.1413,1.0017,1.516,0,2,"Fast"
"3452",116,77,29,1,8.55,7,3.5,70,7.29,7,5.47,70,146.6877,1.0227,1.5492,0,2,"Fast"
"3453",116,78,37,0,14.38,21,1.53,63,12.53,21,3.5,63,148.2673,1.283,1.7987,0,2,"Fast"
"3454",116,79,16,1,12.93,7,3.5,28,11.02,7,5.47,28,150.0963,1.0017,1.5161,0,2,"Fast"
"3455",116,80,23,0,12.53,7,3.5,49,10.68,7,5.47,49,151.6426,1.0192,1.5325,0,2,"Fast"
"3456",116,81,42,1,11.56,21,3.5,84,9.85,21,5.47,84,153.2056,1.0018,1.5161,0,2,"Fast"
"3457",116,82,15,1,13.22,0,4,63,11.27,0,6.26,63,154.752,1.0017,1.5159,0,2,"Fast"
"3458",116,83,30,1,13.22,7,4,70,11.27,7,6.26,70,156.2983,1.4031,1.9149,0,2,"Fast"
"3459",116,84,14,0,8.55,0,3.5,63,7.29,0,5.47,63,158.2437,1.3387,1.848,0,2,"Fast"
"3460",116,85,6,0,12.93,0,3.5,42,11.02,0,5.47,42,160.1226,1.2918,1.8152,0,2,"Fast"
"3461",116,86,20,0,13.35,7,4,28,11.38,7,6.26,28,161.9683,1.0778,1.5991,0,2,"Fast"
"3462",116,87,31,0,9.12,21,7.44,42,7.21,21,9.41,42,163.5978,1.1449,1.6655,0,2,"Fast"
"3463",116,88,25,0,10.77,7,3.5,49,9.18,7,5.47,49,165.2938,1.0011,1.5151,0,2,"Fast"
"3464",116,89,26,0,12.91,7,3.5,70,11.01,7,5.47,70,166.8402,1.038,1.5487,0,2,"Fast"
"3465",116,90,34,0,10.77,21,3.5,42,9.18,21,5.47,42,168.4198,1.0012,1.5159,0,2,"Fast"
"3466",116,91,7,1,12.53,0,3.5,42,10.68,0,5.47,42,169.9661,1.0017,1.5159,1,2,"Fast"
"3467",116,92,35,1,13.35,21,4,42,11.38,21,6.26,42,171.5125,1.3895,1.9155,0,2,"Fast"
"3468",116,93,17,1,14.38,7,1.53,28,12.53,7,3.5,28,173.4579,1.0017,1.5161,0,2,"Fast"
"3469",116,94,11,1,12.91,0,3.5,63,11.01,0,5.47,63,175.0042,1.1146,1.6324,0,2,"Fast"
"3470",116,95,21,1,13.35,7,3.5,49,11.38,7,5.47,49,176.667,1.4914,2.015,0,2,"Fast"
"3471",116,96,7,1,3.29,0,13.35,42,1.44,0,15.32,42,178.7118,3.4308,3.9437,0,2,"Fast"
"3472",116,97,35,1,15.32,21,1.75,42,13.35,21,4,42,182.6861,1.5364,2.0479,0,2,"Fast"
"3473",116,98,22,1,12.93,7,3.5,49,11.02,7,5.47,49,184.7646,1.3861,1.8982,0,2,"Fast"
"3474",116,99,5,1,15.32,0,1.75,21,13.35,0,4,21,186.6933,2.0806,2.597,1,2,"Fast"
"3475",116,100,26,0,14.82,7,1.53,70,12.91,7,3.5,70,189.3205,2.5335,3.0454,0,2,"Fast"
"3476",116,101,31,1,12.93,21,3.5,42,11.02,21,5.47,42,192.3966,1.1289,1.6492,0,2,"Fast"
"3477",116,102,14,1,9.81,0,1.53,63,8.55,0,3.5,63,194.0759,1.5857,2.0978,0,2,"Fast"
"3478",116,103,34,1,12.36,21,1.53,42,10.77,21,3.5,42,196.2043,1.0006,1.516,0,2,"Fast"
"3479",116,104,45,1,15.17,21,1.75,84,13.22,21,4,84,197.7506,1.0017,1.516,0,2,"Fast"
"3480",116,105,30,1,15.17,7,1.75,70,13.22,7,4,70,199.297,1.1177,1.6321,0,2,"Fast"
